ID,Station Name,Total Docks,Docks in Service,Status,Latitude,Longitude,Location
345,Lake Park Ave & 56th St,19,19,In Service,41.793242,-87.587782,"(41.793242, -87.587782)"
346,Ada St & Washington Blvd,15,15,In Service,41.88283,-87.661206,"(41.88283, -87.661206)"
351,Cottage Grove Ave & 51st St,15,15,In Service,41.803038,-87.606615,"(41.803038, -87.606615)"
564,Racine Ave & 65th St,11,11,In Service,41.775393,-87.654308,"(41.775393, -87.654308)"
238,Wolcott (Ravenswood) Ave & Montrose Ave,15,15,In Service,41.961406,-87.676169,"(41.961406, -87.676169)"
332,Burling St & Diversey Pkwy,19,19,In Service,41.93314,-87.64776,"(41.93314, -87.64776)"
310,Damen Ave & Charleston St,11,11,In Service,41.920082,-87.677855,"(41.920082, -87.677855)"
558,Ashland Ave & Garfield Blvd,11,11,In Service,41.792822,-87.664429,"(41.792822, -87.664429)"
247,Shore Dr & 55th St,19,19,In Service,41.795212,-87.580715,"(41.795212, -87.580715)"
604,Sheridan Rd & Noyes St (NU),15,15,In Service,42.058239,-87.677432,"(42.058239, -87.677432)"
281,Western Ave & 24th St,7,7,In Service,41.84847,-87.685109,"(41.84847, -87.685109)"
18,Wacker Dr & Washington St,15,15,In Service,41.883253195,-87.636512518,"(41.88325319522858, -87.63651251792908)"
546,Damen Ave & Pershing Rd,11,11,In Service,41.823192,-87.676597,"(41.823192, -87.676597)"
202,Halsted St & 18th St (Temp),15,15,In Service,41.85837069,-87.646388412,"(41.858370690306195, -87.64638841152191)"
292,Southport Ave & Clark St,11,11,In Service,41.957081,-87.664199,"(41.957081, -87.664199)"
630,Kildare Ave & Montrose Ave,15,15,In Service,41.96108,-87.73569,"(41.96108, -87.73569)"
246,Ashland Ave & Belle Plaine Ave,11,11,In Service,41.956057,-87.668835,"(41.956057, -87.668835)"
191,Canal St & Monroe St,27,27,In Service,41.88169,-87.63953,"(41.88169, -87.63953)"
665,South Chicago Ave & Elliot Ave,7,7,In Service,41.747363,-87.580046,"(41.747363, -87.580046)"
146,Loomis St & Jackson Blvd,19,19,In Service,41.877945,-87.662007,"(41.877945, -87.662007)"
233,Sangamon St & Washington Blvd,15,15,In Service,41.883165,-87.6511,"(41.883165, -87.6511)"
166,Ashland Ave & Wrightwood Ave,15,15,In Service,41.92883,-87.668507,"(41.92883, -87.668507)"
224,Halsted St & Willow St,19,19,In Service,41.913865,-87.648755,"(41.913865, -87.648755)"
559,Racine Ave & Garfield Blvd,11,11,In Service,41.794228,-87.655073,"(41.794228, -87.655073)"
331,Halsted St & Clybourn Ave,27,27,In Service,41.909668,-87.648128,"(41.909668, -87.648128)"
535,Pulaski Rd & Congress Pkwy,11,11,In Service,41.874325,-87.725704,"(41.874325, -87.725704)"
639,Lakefront Trail & Wilson Ave,15,15,In Service,41.965845,-87.645361,"(41.965845, -87.645361)"
654,Racine Ave & Washington Blvd,11,11,In Service,41.883073,-87.656952,"(41.883073, -87.656952)"
305,Western Ave & Division St,23,23,In Service,41.902893,-87.687275,"(41.902893, -87.687275)"
549,Marshfield Ave & 44th St,11,11,In Service,41.813996,-87.666589,"(41.813996, -87.666589)"
423,University Ave & 57th St,31,31,In Service,41.791478,-87.599861,"(41.791478, -87.599861)"
542,Central Ave & Madison St,11,11,In Service,41.880121,-87.763238,"(41.880121, -87.763238)"
652,Rhodes Ave & 71st St,11,11,In Service,41.766,-87.611726,"(41.766, -87.611726)"
514,Ridge Blvd & Howard St,11,11,In Service,42.019276,-87.68452,"(42.019276, -87.68452)"
164,Franklin St & Lake St,27,27,In Service,41.885837,-87.6355,"(41.885837, -87.6355)"
738,Calumet Park,15,15,In Service,41.71370983,-87.530844212,"(41.71370983035615, -87.53084421157837)"
159,Claremont Ave & Hirsch St,11,11,In Service,41.907781,-87.685854,"(41.907781, -87.685854)"
592,Knox Ave & Montrose Ave,11,11,In Service,41.960631,-87.745359,"(41.960631, -87.745359)"
320,Loomis St & Lexington St,19,19,In Service,41.872187,-87.661501,"(41.872187, -87.661501)"
196,Cityfront Plaza Dr & Pioneer Ct,31,31,In Service,41.890573,-87.622072,"(41.890573, -87.622072)"
20,Sheffield Ave & Kingsbury St,15,15,In Service,41.910522,-87.653106,"(41.910522, -87.653106)"
138,Clybourn Ave & Division St,15,15,In Service,41.904613,-87.640552,"(41.904613, -87.640552)"
108,Halsted St & Polk St,19,19,In Service,41.87184,-87.64664,"(41.87184, -87.64664)"
201,Indiana Ave & 40th St,11,11,In Service,41.82168,-87.6216,"(41.82168, -87.6216)"
279,Halsted St & 35th St,15,15,In Service,41.830661,-87.647172,"(41.830661, -87.647172)"
185,Stave St & Armitage Ave,11,11,In Service,41.917741,-87.691392,"(41.917741, -87.691392)"
222,Milwaukee Ave & Rockwell St,19,19,In Service,41.920195562,-87.692659199,"(41.92019556200566, -87.69265919923781)"
531,Central Ave & Lake St,11,11,In Service,41.887664,-87.765469,"(41.887664, -87.765469)"
192,Canal St & Adams St,47,47,In Service,41.879255,-87.639904,"(41.879255, -87.639904)"
1521679584953491780,Kedzie Ave & 104th St,8,8,In Service,41.7037764,-87.7013952,"(41.7037764, -87.7013952)"
576,Greenwood Ave & 79th St,11,11,In Service,41.751294,-87.597552,"(41.751294, -87.597552)"
309,Leavitt St & Armitage Ave,11,11,In Service,41.917805,-87.682437,"(41.917805, -87.682437)"
265,Cottage Grove Ave & Oakwood Blvd,15,15,In Service,41.822985,-87.6071,"(41.822985, -87.6071)"
557,Seeley Ave & Garfield Blvd,11,11,In Service,41.794087,-87.675478,"(41.794087, -87.675478)"
298,Lincoln Ave & Belle Plaine Ave,15,15,In Service,41.956003551,-87.680161446,"(41.95600355078549, -87.68016144633293)"
1571105042230683640,Panama Ave & Grace St,9,9,In Service,41.9476665,-87.829258,"(41.9476665, -87.829258)"
178,State St & 19th St,15,15,In Service,41.856594,-87.627542,"(41.856594, -87.627542)"
5,State St & Harrison St,23,23,In Service,41.874053,-87.627716,"(41.874053, -87.627716)"
340,Clark St & Wrightwood Ave,15,15,In Service,41.929546,-87.643118,"(41.929546, -87.643118)"
643,Smith Park,15,15,In Service,41.892048,-87.689397,"(41.892048, -87.689397)"
90,Millennium Park,47,47,In Service,41.8810317,-87.62408432,"(41.8810317, -87.62408432)"
275,Ashland Ave & 13th St,15,15,In Service,41.865234,-87.666507,"(41.865234, -87.666507)"
620,Orleans St & Chestnut St (NEXT Apts),15,15,In Service,41.898203,-87.637536,"(41.898203, -87.637536)"
536,Kostner Ave & Lake St,11,11,In Service,41.885928,-87.73541,"(41.885928, -87.73541)"
532,Austin Blvd & Lake St,11,11,In Service,41.887919,-87.774446,"(41.887919, -87.774446)"
28,Larrabee St & Menomonee St,15,15,In Service,41.91468,-87.64332,"(41.91468, -87.64332)"
548,Morgan St & Pershing Rd,7,7,In Service,41.823613,-87.650931,"(41.823613, -87.650931)"
741,Yates Blvd & 93rd St,15,15,In Service,41.72616639,-87.566276193,"(41.726166390245105, -87.5662761926651)"
124,Damen Ave & Cullerton St,15,15,In Service,41.854966519,-87.675699592,"(41.854966518753926, -87.67569959163664)"
712,Wentworth Ave & 104th St,15,15,In Service,41.705307997,-87.629216909,"(41.705307996998194, -87.62921690940857)"
465,Marine Dr & Ainslie St,23,23,In Service,41.9716,-87.650154,"(41.9716, -87.650154)"
93,Sheffield Ave & Willow St,15,15,In Service,41.913688,-87.652855,"(41.913688, -87.652855)"
1563698679731458030,Parkside Ave & Armitage Ave,9,9,In Service,41.9169054,-87.7671806,"(41.9169054, -87.7671806)"
628,Walsh Park,23,23,In Service,41.91461,-87.667968,"(41.91461, -87.667968)"
186,Ogden Ave & Race Ave,15,15,In Service,41.891795,-87.658751,"(41.891795, -87.658751)"
440,Central Park Ave & 24th St,11,11,In Service,41.8481,-87.715068,"(41.8481, -87.715068)"
344,Ravenswood Ave & Lawrence Ave,47,47,In Service,41.96909,-87.674237,"(41.96909, -87.674237)"
327,Sheffield Ave & Webster Ave,19,19,In Service,41.92154,-87.653818,"(41.92154, -87.653818)"
579,Phillips Ave & 79th St,11,11,In Service,41.75182,-87.565211,"(41.75182, -87.565211)"
578,Bennett Ave & 79th St,11,11,In Service,41.751785,-87.578496,"(41.751785, -87.578496)"
571,Vernon Ave & 75th St,11,11,In Service,41.758361,-87.614138,"(41.758361, -87.614138)"
267,Lake Park Ave & 47th St,15,15,In Service,41.809443,-87.591875,"(41.809443, -87.591875)"
324,Stockton Dr & Wrightwood Ave,15,15,In Service,41.93132,-87.638742,"(41.93132, -87.638742)"
242,Damen Ave & Leland Ave,15,15,In Service,41.967094,-87.679028,"(41.967094, -87.679028)"
297,Paulina St & Montrose Ave,15,15,In Service,41.961507,-87.671387,"(41.961507, -87.671387)"
1436495115557663136,N Southport Ave & W Newport Ave,8,8,In Service,41.944019,-87.663975,"(41.944019, -87.663975)"
605,University Library (NU),15,15,In Service,42.052939,-87.673447,"(42.052939, -87.673447)"
33,State St & Van Buren St,27,27,In Service,41.877181,-87.627844,"(41.877181, -87.627844)"
110,Dearborn St & Erie St,27,27,In Service,41.893992,-87.629318,"(41.893992, -87.629318)"
477,Manor Ave & Leland Ave,11,11,In Service,41.965875,-87.700825,"(41.965875, -87.700825)"
602,Central St & Girard Ave,15,15,In Service,42.064313,-87.686152,"(42.064313, -87.686152)"
195,Columbus Dr & Randolph St,55,55,In Service,41.884728,-87.619521,"(41.884728, -87.619521)"
1436495119852630436,N Damen Ave & W Chicago Ave,6,6,In Service,41.895809,-87.678519,"(41.895809, -87.678519)"
250,Ashland Ave & Wellington Ave,19,19,In Service,41.936083,-87.669807,"(41.936083, -87.669807)"
68,Clinton St & Tilden St,23,23,In Service,41.875885,-87.640795,"(41.875885, -87.640795)"
304,Broadway & Waveland Ave,15,15,In Service,41.949074,-87.648636,"(41.949074, -87.648636)"
401,Shields Ave & 28th Pl,11,11,In Service,41.842733,-87.635491,"(41.842733, -87.635491)"
180,Ritchie Ct & Banks St,15,15,In Service,41.906866,-87.626217,"(41.906866, -87.626217)"
287,Franklin St & Monroe St,31,31,In Service,41.880317,-87.635185,"(41.880317, -87.635185)"
328,Ellis Ave & 58th St,19,19,In Service,41.788746,-87.601334,"(41.788746, -87.601334)"
1571105059410550806,Harlem & Irving Park,9,9,In Service,41.9532568,-87.8071434,"(41.9532568, -87.8071434)"
355,South Shore Dr & 67th St,15,15,In Service,41.773643,-87.567514,"(41.773643, -87.567514)"
417,Cornell Ave & Hyde Park Blvd,19,19,In Service,41.802406,-87.586924,"(41.802406, -87.586924)"
306,Sheridan Rd & Buena Ave,19,19,In Service,41.958494,-87.654966,"(41.958494, -87.654966)"
272,Indiana Ave & 31st St,11,11,In Service,41.838842,-87.621857,"(41.838842, -87.621857)"
288,Larrabee St & Armitage Ave,15,15,In Service,41.918084,-87.643749,"(41.918084, -87.643749)"
51,Clark St & Randolph St,43,43,In Service,41.884576228,-87.63188991,"(41.884576228, -87.63188991)"
141,Clark St & Lincoln Ave,23,23,In Service,41.915689,-87.6346,"(41.915689, -87.6346)"
347,Ashland Ave & Grace St,15,15,In Service,41.950687,-87.6687,"(41.950687, -87.6687)"
240,Sheridan Rd & Irving Park Rd,27,27,In Service,41.954245,-87.654406,"(41.954245, -87.654406)"
241,Morgan St & Polk St,19,19,In Service,41.871737,-87.65103,"(41.871737, -87.65103)"
175,Wells St & Polk St,19,19,In Service,41.872596,-87.633502,"(41.872596, -87.633502)"
237,MLK Jr Dr & 29th St,19,19,In Service,41.842052,-87.617,"(41.842052, -87.617)"
205,Paulina St & 18th St,15,15,In Service,41.857901,-87.668745,"(41.857901, -87.668745)"
263,Rhodes Ave & 32nd St,11,11,In Service,41.836208,-87.613533,"(41.836208, -87.613533)"
593,Halsted St & 59th St,11,11,In Service,41.787539,-87.644874,"(41.787539, -87.644874)"
125,Rush St & Hubbard St,23,23,In Service,41.890173,-87.626185,"(41.890173, -87.626185)"
429,Cottage Grove Ave & 67th St,11,11,In Service,41.773720952,-87.60563486,"(41.77372095205, -87.60563486)"
160,Campbell Ave & North Ave,15,15,In Service,41.910535,-87.689556,"(41.910535, -87.689556)"
32,Racine Ave & Congress Pkwy,19,19,In Service,41.87464,-87.65703,"(41.87464, -87.65703)"
121,Blackstone Ave & Hyde Park Blvd,19,19,In Service,41.802562,-87.590368,"(41.802562, -87.590368)"
598,Elmwood Ave & Austin St,15,15,In Service,42.025784,-87.684107,"(42.025784, -87.684107)"
318,Southport Ave & Irving Park Rd,15,15,In Service,41.954177,-87.664358,"(41.954177, -87.664358)"
315,Elston Ave & Wabansia Ave,23,23,In Service,41.912919,-87.664169,"(41.912919, -87.664169)"
120,Wentworth Ave & Cermak Rd,19,19,In Service,41.853084557,-87.631931305,"(41.85308455741279, -87.63193130493164)"
551,Hoyne Ave & 47th St,11,11,In Service,41.808227,-87.67718,"(41.808227, -87.67718)"
171,May St & Cullerton St,11,11,In Service,41.855136,-87.654127,"(41.855136, -87.654127)"
674,Michigan Ave & 71st St,7,7,In Service,41.765286,-87.621748,"(41.765286, -87.621748)"
231,Sheridan Rd & Montrose Ave,23,23,In Service,41.96167,-87.65464,"(41.96167, -87.65464)"
276,California Ave & North Ave,11,11,In Service,41.91044,-87.6972,"(41.91044, -87.6972)"
209,Normal Ave & Archer Ave,11,11,In Service,41.849527,-87.640591,"(41.849527, -87.640591)"
234,Clark St & Montrose Ave,19,19,In Service,41.961588,-87.666036,"(41.961588, -87.666036)"
603,Chicago Ave & Sheridan Rd,15,15,In Service,42.050491,-87.677821,"(42.050491, -87.677821)"
583,Stony Island Ave & 82nd St,11,11,In Service,41.746559,-87.586005,"(41.746559, -87.586005)"
416,Dorchester Ave & 49th St,15,15,In Service,41.805772,-87.592464,"(41.805772, -87.592464)"
302,Sheffield Ave & Wrightwood Ave,31,31,In Service,41.928712,-87.653833,"(41.928712, -87.653833)"
131,Lincoln Ave & Belmont Ave,15,15,In Service,41.939365,-87.668385,"(41.939365, -87.668385)"
129,Blue Island Ave & 18th St,15,15,In Service,41.857556,-87.661535,"(41.857556, -87.661535)"
27,Larrabee St & North Ave,19,19,In Service,41.91021,-87.6435,"(41.91021, -87.6435)"
437,Washtenaw Ave & Ogden Ave,15,15,In Service,41.861930493,-87.693450451,"(41.86193049278259, -87.69345045089722)"
330,Lincoln Ave & Addison St,19,19,In Service,41.946176,-87.673308,"(41.946176, -87.673308)"
1563698675436490730,Narragansett & Wrightwood,9,9,In Service,41.927294,-87.7852027,"(41.927294, -87.7852027)"
254,Pine Grove Ave & Irving Park Rd,15,15,In Service,41.954383,-87.648043,"(41.954383, -87.648043)"
252,Greenwood Ave & 47th St,15,15,In Service,41.809835,-87.599383,"(41.809835, -87.599383)"
6,Dusable Harbor,39,39,In Service,41.886976,-87.612813,"(41.886976, -87.612813)"
85,Michigan Ave & Oak St,23,23,In Service,41.90096039,-87.62377664,"(41.90096039, -87.62377664)"
723,Hale Ave & 107th St,11,11,In Service,41.699206168,-87.668918967,"(41.699206168127674, -87.66891896724701)"
1561012887305957948,Lawndale Ave & 16th St,9,9,In Service,41.8591606,-87.7176965,"(41.8591606, -87.7176965)"
307,Southport Ave & Clybourn Ave,15,15,In Service,41.920771,-87.663712,"(41.920771, -87.663712)"
206,Halsted St & Archer Ave,15,15,In Service,41.847203,-87.646795,"(41.847203, -87.646795)"
1561012887305957952,Tripp Ave & 15th St,9,9,In Service,41.860777,-87.7313639,"(41.860777, -87.7313639)"
326,Clark St & Leland Ave,19,19,In Service,41.967096,-87.667429,"(41.967096, -87.667429)"
199,Wabash Ave & Grand Ave,31,31,In Service,41.891466,-87.626761,"(41.891466, -87.626761)"
258,Logan Blvd & Elston Ave,27,27,In Service,41.929465,-87.684158,"(41.929465, -87.684158)"
245,Clarendon Ave & Junior Ter,23,23,In Service,41.961004,-87.649603,"(41.961004, -87.649603)"
284,Michigan Ave & Jackson Blvd,23,6,In Service,41.87785,-87.62408,"(41.87785, -87.62408)"
25,Michigan Ave & Pearson St,23,23,In Service,41.89766,-87.62351,"(41.89766, -87.62351)"
188,Greenview Ave & Fullerton Ave,15,15,In Service,41.92533,-87.6658,"(41.92533, -87.6658)"
552,Ashland Ave & McDowell Ave,11,11,In Service,41.80887,-87.66454,"(41.80887, -87.66454)"
619,Keystone Ave & Fullerton Ave,11,11,In Service,41.92459,-87.72785,"(41.92459, -87.72785)"
599,Valli Produce - Evanston Plaza,15,15,In Service,42.039742,-87.699413,"(42.039742, -87.699413)"
19,Throop St & Taylor St,15,15,In Service,41.868968,-87.659141,"(41.868968, -87.659141)"
232,Pine Grove Ave & Waveland Ave,23,23,In Service,41.949472741,-87.646452785,"(41.94947274088333, -87.64645278453827)"
585,Cottage Grove Ave & 83rd St,11,11,In Service,41.743441,-87.604836,"(41.743441, -87.604836)"
452,Western Ave & Granville Ave,11,11,In Service,41.994161369,-87.689438282,"(41.99416136902, -87.689438282)"
148,State St & 33rd St,15,15,In Service,41.834734,-87.625813,"(41.834734, -87.625813)"
46,Wells St & Walton St,19,19,In Service,41.89993001,-87.63443007,"(41.89993001, -87.63443007)"
13,Wilton Ave & Diversey Pkwy,35,35,In Service,41.932418,-87.652705,"(41.932418, -87.652705)"
400,Cottage Grove Ave & 71st St,11,11,In Service,41.765719037,-87.604959713,"(41.76571903697, -87.604959713)"
1561012900190859852,Tripp Ave & 31st St,9,9,In Service,41.836966,-87.730502,"(41.836966, -87.730502)"
16,Paulina Ave & North Ave,15,15,In Service,41.909854652,-87.66993016,"(41.90985465216731, -87.66993016004562)"
740,Loomis St & 89th St,15,15,In Service,41.732379753,-87.658069432,"(41.73237975329554, -87.65806943178177)"
197,Michigan Ave & Madison St,19,19,In Service,41.882134,-87.625125,"(41.882134, -87.625125)"
229,Southport Ave & Roscoe St,19,19,In Service,41.943739,-87.66402,"(41.943739, -87.66402)"
308,Seeley Ave & Roscoe St,11,11,In Service,41.943403,-87.679618,"(41.943403, -87.679618)"
158,Milwaukee Ave & Wabansia Ave,15,15,In Service,41.912616,-87.681391,"(41.912616, -87.681391)"
519,Wolcott Ave & Fargo Ave,11,11,In Service,42.016977,-87.677725,"(42.016977, -87.677725)"
184,State St & 35th St,19,19,In Service,41.831036314,-87.626797557,"(41.8310363140161, -87.62679755687714)"
1563698705501259786,Kenosha & Wellington,9,9,In Service,41.9344421,-87.7337799,"(41.9344421, -87.7337799)"
95,Stony Island Ave & 64th St,11,11,In Service,41.778881,-87.586647,"(41.778881, -87.586647)"
711,Halsted St & 111th St,15,15,In Service,41.692262556,-87.642611861,"(41.69226255589166, -87.64261186122894)"
150,Fort Dearborn Dr & 31st St,27,27,In Service,41.838556,-87.608218,"(41.838556, -87.608218)"
285,Wood St & Hubbard St,19,19,In Service,41.889899,-87.671473,"(41.889899, -87.671473)"
563,Ashland Ave & 63rd St,11,11,In Service,41.779374,-87.664843,"(41.779374, -87.664843)"
337,Clark St & Chicago Ave,19,19,In Service,41.89675,-87.63089,"(41.89675, -87.63089)"
153,Southport Ave & Wellington Ave,19,19,In Service,41.935733,-87.663576,"(41.935733, -87.663576)"
135,Halsted St & 21st St,11,11,In Service,41.853779811,-87.646602988,"(41.85377981072743, -87.6466029882431)"
4,Burnham Harbor,23,23,In Service,41.856268,-87.613348,"(41.856268, -87.613348)"
214,Damen Ave & Grand Ave,23,23,In Service,41.891264346,-87.676842213,"(41.891264346481535, -87.676842212677)"
555,Ashland Ave & 50th St,11,11,In Service,41.803023,-87.664699,"(41.803023, -87.664699)"
273,Michigan Ave & 18th St,23,23,In Service,41.857813,-87.62455,"(41.857813, -87.62455)"
569,Woodlawn Ave & 75th St,11,11,In Service,41.75916,-87.595751,"(41.75916, -87.595751)"
622,California Ave & Cortez St,15,15,In Service,41.900363,-87.696704,"(41.900363, -87.696704)"
